symbol,w0,w25,w50,w75,w100
COST,AAA,AAA,AAA,AAA,AAA
KO,AAA,AAA,AAA,AAA,AAA
DELL,A,A-,A-,BBB+,BBB+
ORCL,,BBB-,BB,BB-,B+
PNC,,AAA,AAA-,AA,AA-
WMT,AAA,AAA,AAA,AAA,AAA
INTU,,,,,
AMZN,,AAA,AAA-,AAA-,AAA-
T,AAA-,AA+,A+,A,A-
KHC,,,,,
