stratum,n,spearman,spearman_ci05,spearman_ci95,kendall,somers_d
all names with estimates,128,0.7867232885211725,0.7131520896260386,0.8426189018950171,0.6202145027802745,0.6497434512557386
rated only,77,0.8186125931645735,0.7254599458045871,0.878793385394153,0.6565928684506799,0.6859380828049235
SCALE_RESOLVED only,36,0.7261776900167181,0.5305573621533067,0.8603585112165785,0.5829066622219872,0.6133567662565905
