ticker,sigma_A,asset,eta_A,drift,ccm,mu,risk_score,dd,pit_pd,ttc_pd,sp_rating,off_grid
COST,0.1898577801123254,432245517722.4402,0.0262505013102063,0.0082275129756162,0.9389839468154364,567.1023905413274,0.1655757342019189,24.61879511543888,6.699662527316134e-133,0.0002,AAA-,True
KO,0.1570450691762696,402889343509.8666,0.1817519141236596,0.1694203372473699,0.051882743365042,16.561306497499647,0.3132768744596028,18.94515049034341,2.8398109728893147e-63,0.0002,AAA-,True
DELL,0.5666543399448795,305294380936.72034,1.2562770681868385,1.095728497697655,0.1062409637223991,2.5173205620719346,4.220398677987807,6.801374495384694,0.0024494528827385,0.0024517255123739,BBB,False
ORCL,0.5564775418055257,425120261173.1824,-0.4273419755115865,-0.5821756027785467,0.3224909417019139,2.8331512497849025,11.3827647474309,1.9178059376217127,0.0425426735358893,0.0096758906506255,BB,False
PNC,0.1656372800500058,140043154173.97852,0.2331764850961607,0.2194586308249787,0.0870943033679433,6.540652862663991,1.331584250023476,9.990874954400926,1.845067337758507e-13,0.0002388959786793,AAA-,True
WMT,0.2306679809686485,936019482573.8806,0.1582235863790105,0.131619727656934,0.1338117649092343,22.952941722144296,0.5829830726234837,13.667608537656315,5.132511599350802e-36,0.0001999999999999,AAA-,False
INTU,0.4487475196778428,88202159074.00714,-0.8073365831243633,-0.9080237513328712,0.0709152935728477,3.4440527930605707,2.0590652302350034,4.945449029342051,5.941073154676851e-07,0.0010604217250418,A,True
AMZN,0.3056951382222123,2597510689832.075,0.060278686241837,0.0135539274754883,2.1486128256287325,236.74923520490097,0.907547947839898,10.541338374107957,1.4187994513350439e-25,0.0002,AAA-,True
T,0.1541518343001701,270812878734.8579,-0.0320382895616536,-0.0439196835707071,0.4721810998007628,26.08977834651078,1.8098317798238857,7.148375047501577,8.467384212104032e-13,0.0002156361501973,AAA-,False
KHC,0.1704911384273701,47183788018.70494,-0.0233784042542244,-0.0379120183953547,0.5438238769587065,37.18703366262333,1.4624018734392996,8.046890287351463,8.275957484578371e-16,0.0001999999999999,AAA-,False
